date,close,open,high,low,volume
2016-1-4,28.78,30.57,30.57,28.63,70997200
2016-1-5,29.23,28.41,29.54,28.23,87498504
2016-1-6,29.26,29.03,29.39,28.73,48012112
2016-1-7,28.5,28.73,29.25,27.73,23647604
2016-1-8,28.67,28.73,29.18,27.63,98239664
2016-1-11,26.76,27.73,28.06,26.73,99355696
2016-1-12,26.94,27,27.29,26.55,74380912
2016-1-13,26.72,27.5,27.51,26.58,62533020
2016-1-14,26.72,25.63,26.79,25.53,79722712
2016-1-15,25.93,26.37,26.6,25.63,59140260
2016-1-18,25.8,25.46,26,25.32,48369368
2016-1-19,26.24,25.95,26.41,25.48,67392536
2016-1-20,25.26,25.95,26.18,25.02,100704272
2016-1-21,24.88,25.1,25.54,24.6,68190104
2016-1-22,24.95,25.1,25.22,24.41,49310408
2016-1-25,24.99,25.02,25.09,24.62,37474472
2016-1-26,23.96,24.64,24.83,23.71,76680984
2016-1-27,23.95,24.08,24.21,23.53,70385328
2016-1-28,24.03,23.93,24.34,23.5,48441760
2016-1-29,24.91,23.93,25.11,23.85,64439144
2016-2-1,24.26,24.89,24.89,24.04,34048456
2016-2-2,24.7,24.26,24.83,24.23,37513432
2016-2-3,24.37,24.23,24.53,23.83,39035212
2016-2-4,24.44,24.5,24.79,24.22,36657040
2016-2-5,24.39,24.43,24.73,24.34,33330200
2016-2-15,24.16,23.43,24.52,23.35,43993724
2016-2-16,24.85,24.28,25.05,24.19,39757868
2016-2-17,24.77,24.86,25.06,24.65,46163464
2016-2-18,24.64,25.01,25.22,24.53,48458572
2016-2-19,24.65,24.64,24.88,24.46,26092200
2016-2-22,25.7,25.01,26.38,24.76,78908600
2016-2-23,25.23,25.69,25.7,24.97,43458444
2016-2-24,25.14,25.03,25.33,24.76,30491050
2016-2-25,23.69,25.1,25.1,23.59,59059776
2016-2-26,23.83,24.06,24.13,23.67,33211134
2016-2-29,23.74,23.78,23.88,22.54,66763176
2016-3-1,23.99,23.63,24.42,23.29,40682752
2016-3-2,24.91,24.08,25.03,24.08,62335408
2016-3-3,25.11,24.98,25.22,24.71,53494888
2016-3-4,26.28,25.01,26.33,24.86,178976576
2016-3-7,25.78,26.11,26.31,25.54,54440340
2016-3-8,26.03,25.71,26.08,24.72,67391216
2016-3-9,26.11,25.55,26.18,24.99,80090592
2016-3-10,25.47,25.71,26.02,25.43,33110888
2016-3-11,25.77,25.3,25.83,25.2,35792984
2016-3-14,25.84,25.72,26.3,25.63,55579716
2016-3-15,26.09,25.78,26.22,25.38,61981844
2016-3-16,26.86,25.83,26.99,25.78,159647664
2016-3-17,26.73,26.83,27.1,26.61,57078596
2016-3-18,26.85,27.05,27.15,26.61,87408320
2016-3-21,27.56,27.12,28.53,26.97,113879008
2016-3-22,26.83,27.38,27.77,26.73,60362720
2016-3-23,26.99,27.02,27.49,26.81,36047296
2016-3-24,26.53,26.8,26.82,26.48,35109688
2016-3-25,26.79,26.54,27.53,26.37,35717568
2016-3-28,26.19,26.83,27.08,26.08,37797308
2016-3-29,25.98,26.34,26.49,25.87,34128188
2016-3-30,26.72,26.33,26.79,26.25,43205824
2016-3-31,26.54,26.82,26.91,26.44,29797952
2016-4-1,26.65,26.56,26.69,25.94,38552936
2016-4-5,26.73,26.43,26.93,26.23,42978996
2016-4-6,26.47,26.51,26.69,26.37,27232796
2016-4-7,26.1,26.62,26.69,26.09,36211144
2016-4-8,25.89,25.93,26,25.77,36175892
2016-4-11,26.24,26.05,26.57,26.05,35165896
2016-4-12,26.28,26.22,26.48,26.13,21968838
2016-4-13,26.64,26.53,26.99,26.45,75568176
2016-4-14,26.75,26.81,27.11,26.61,42270344
2016-4-15,26.72,26.76,26.83,26.61,53566944
2016-4-18,26.52,26.53,26.82,26.24,56266308
2016-4-19,26.66,26.73,26.77,26.48,47555192
2016-4-20,26.94,26.67,26.98,25.84,119379680
2016-4-21,26.95,26.67,27.23,26.59,65119592
2016-4-22,27.15,26.73,27.28,26.61,43078020
2016-4-25,27.05,27.03,27.23,26.7,30729800
2016-4-26,27.12,27.05,27.26,26.94,30804864
2016-4-27,26.99,27.3,27.35,26.94,32926140
2016-4-28,26.92,26.99,27.11,26.74,22743652
2016-4-29,26.77,26.82,27.13,26.68,25951148
2016-5-3,26.64,26.74,27.16,26.59,50917960
2016-5-4,26.66,26.66,26.76,26.62,26426416
2016-5-5,26.68,26.66,26.78,26.6,21140060
2016-5-6,26.13,26.73,26.74,26.12,49181872
2016-5-9,25.89,26.12,26.13,25.78,49046544
2016-5-10,25.92,25.81,25.99,25.75,27645278
2016-5-11,25.98,25.97,26.1,25.89,27763942
2016-5-12,26.44,25.93,26.58,25.68,56869640
2016-5-13,26.45,26.28,26.58,26.22,39265080
2016-5-16,26.34,26.29,26.43,26.24,24118292
2016-5-17,26.24,26.33,26.38,26.18,20691674
2016-5-18,26.54,26.14,26.62,26.1,60201784
2016-5-19,26.56,26.44,26.63,26.43,28517052
2016-5-20,26.55,26.55,26.7,26.45,17539236
2016-5-23,26.56,26.49,26.69,26.44,27738544
2016-5-24,26.37,26.45,26.56,26.23,18552100
2016-5-25,26.34,26.56,26.61,26.32,13712500
2016-5-26,26.36,26.34,26.52,26.23,20356140
2016-5-27,26.33,26.43,26.44,26.31,14098751
2016-5-30,26.64,26.48,26.67,26.23,22097500
2016-5-31,27.45,26.67,28.23,26.67,75882592
2016-6-1,27.02,27.42,27.55,26.98,42343352
2016-6-2,26.94,27.04,27.23,26.83,28989196
2016-6-3,27.07,27.18,27.18,26.75,35163824
2016-6-6,26.84,27.13,27.18,26.78,23686984
2016-6-7,26.87,26.95,26.97,26.81,23960660
2016-6-8,26.88,26.85,26.96,26.75,26461000
2016-6-13,26.53,26.68,26.76,26.43,47023964
2016-6-14,26.71,26.42,26.75,26.23,35573876
2016-6-15,26.71,26.35,26.81,26.34,38314316
2016-6-16,26.7,26.56,26.85,26.56,32940156
2016-6-17,26.71,26.7,26.92,26.65,29510558
2016-6-20,26.85,26.93,26.93,26.7,25713526
2016-6-21,26.79,26.91,27.21,26.74,22864166
2016-6-22,26.81,26.78,26.88,26.7,16359312
2016-6-23,26.73,26.82,26.87,26.7,25361740
2016-6-24,26.28,26.71,26.86,25.94,42936224
2016-6-27,26.41,26.23,26.47,26.18,23863950
2016-6-28,26.58,26.3,26.59,26.19,23766592
2016-6-29,26.89,26.63,26.91,26.58,26351146
2016-6-30,26.77,26.9,27.03,26.74,17779548
2016-7-1,26.91,26.87,27.01,26.79,18235058
2016-7-4,27.17,26.85,27.39,26.79,40321888
2016-7-5,27.15,27.28,27.33,27.08,22093836
2016-7-6,27.07,27.08,27.16,26.88,24949968
2016-7-7,27.03,27.03,27.07,26.88,22363060
2016-7-8,26.86,27.03,27.04,26.84,19295028
2016-7-11,26.87,26.89,27.05,26.84,23128424
2016-7-12,27.49,26.89,27.54,26.88,42598576
2016-7-13,27.54,27.68,27.88,27.38,42203460
2016-7-14,27.57,27.52,27.58,27.37,20651738
2016-7-15,27.67,27.58,27.78,27.5,35206348
2016-7-18,27.77,27.75,28.08,27.7,38033580
2016-7-19,27.46,27.77,27.77,27.29,26362016
2016-7-20,27.39,27.5,27.53,27.21,18557332
2016-7-21,27.63,27.39,27.73,27.39,24834404
2016-7-22,27.38,27.58,27.62,27.31,21162492
2016-7-25,27.38,27.38,27.48,27.3,17490184
2016-7-26,27.6,27.38,27.72,27.33,40607688
2016-7-27,27.87,27.63,27.88,26.91,80288280
2016-7-28,27.53,27.61,27.76,27.49,28491224
2016-7-29,27.45,27.57,27.68,27.39,22929964
2016-8-1,27.36,27.38,27.48,27.28,22213896
2016-8-2,27.36,27.38,27.46,27.28,17685932
2016-8-3,27.26,27.21,27.36,27.18,18652512
2016-8-4,27.23,27.26,27.28,27.09,20772928
2016-8-5,27.26,27.24,27.33,27.19,27213136
2016-8-8,27.35,27.31,27.38,27.18,30356936
2016-8-9,27.62,27.41,27.74,27.41,41065840
2016-8-10,27.62,27.63,27.86,27.6,34781456
2016-8-11,27.87,27.58,28.48,27.58,77933584
2016-8-12,28.56,27.89,28.58,27.84,69438200
2016-8-15,29.64,28.63,30.31,28.56,122157232
2016-8-16,29,29.88,30,28.97,91604432
2016-8-17,29.05,29.13,29.21,28.76,42967524
2016-8-18,29.51,29.38,29.98,29.21,85035536
2016-8-19,29.6,29.56,29.74,29.25,35481776
2016-8-22,29.54,29.69,29.76,29.31,31956946
2016-8-23,29.92,29.5,30.26,29.5,55894872
2016-8-24,29.41,29.97,30,29.39,37369380
2016-8-25,29.17,29.09,29.24,28.88,38835272
2016-8-26,29.17,29.24,29.49,29.12,21051990
2016-8-29,29.34,29.09,29.39,28.8,23735600
2016-8-30,29.29,29.36,29.54,29.14,30022326
2016-8-31,29.3,29.27,29.46,29.11,19265568
2016-9-1,29.45,29.29,29.62,29.24,24342696
2016-9-2,29.94,29.42,29.97,29.31,51030168
2016-9-5,30.04,29.97,30.23,29.78,40332700
2016-9-6,30.42,30,30.71,29.92,56432580
2016-9-7,30.49,30.47,30.95,30.46,47062028
2016-9-8,30.66,30.48,30.86,30.41,33539618
2016-9-9,30.74,30.71,31.12,30.56,44040728
2016-9-12,30.4,30.19,30.43,29.48,86602440
2016-9-13,30,30.26,30.26,29.68,31744460
2016-9-14,29.58,29.78,29.88,29.45,35213692
2016-9-19,30.25,29.68,30.4,29.68,37266600
2016-9-20,30.13,30.25,30.25,30.08,14666356
2016-9-21,29.95,30.17,30.26,29.76,35247928
2016-9-22,30.29,30.09,30.65,30.09,54132988
2016-9-23,30.17,30.33,30.48,30,31439120
2016-9-26,29.66,30.04,30.06,29.61,32852644
2016-9-27,29.64,29.51,29.68,29.47,45825168
2016-9-28,29.42,29.66,29.66,29.4,31733236
2016-9-29,29.47,29.53,29.72,29.43,23086976
2016-9-30,29.44,29.38,29.55,29.34,19403198
2016-10-10,29.88,29.74,30.08,29.58,34119412
2016-10-11,29.66,29.9,30.03,29.53,49375216
2016-10-12,29.58,29.54,29.72,29.48,30854074
2016-10-13,29.4,29.5,29.6,29.29,34546744
2016-10-14,29.39,29.41,29.46,29.33,23156048
2016-10-17,29.22,29.4,29.46,29.16,30921444
2016-10-18,29.48,29.16,29.57,29.16,28336028
2016-10-19,29.4,29.52,29.55,29.38,20515200
2016-10-20,29.42,29.44,29.52,29.39,12768281
2016-10-21,29.5,29.4,29.56,29.33,28003164
2016-10-24,29.77,29.5,30.07,29.43,42090948
2016-10-25,29.83,29.84,29.9,29.68,23971960
2016-10-26,29.7,29.84,29.92,29.67,19737704
2016-10-27,29.47,29.7,29.71,29.38,21764326
2016-10-28,29.81,29.68,30.01,29.64,32514938
2016-10-31,29.89,29.68,29.93,29.48,23435296
2016-11-1,30.34,29.91,30.38,29.78,36719128
2016-11-2,29.89,30.17,30.26,29.82,25676032
2016-11-3,30.25,29.87,30.37,29.8,40514436
2016-11-4,30.21,30.16,30.44,30.15,26447974
2016-11-7,30.27,30.26,30.33,30.16,21516692
2016-11-8,30.28,30.39,30.46,30.16,28683168
2016-11-9,29.99,30.28,30.29,29.61,68834552
2016-11-10,30.22,30.2,30.48,30.13,35280336
2016-11-11,30.27,30.23,30.52,30.14,52390696
2016-11-14,30.23,30.2,30.41,30.16,68357168
2016-11-15,30.24,30.26,30.29,30.18,28690404
2016-11-16,30.3,30.28,30.38,30.19,24386996
2016-11-17,30.28,30.27,30.3,30.08,23871564
2016-11-18,30.29,30.28,30.34,30.22,32069692
2016-11-21,31.18,30.23,31.63,30.23,108903560
2016-11-22,31.4,31.09,31.72,31.09,73702176
2016-11-23,31.26,31.5,31.63,31.24,44013312
2016-11-24,31.7,31.26,31.91,31.26,52076452
2016-11-25,32.06,31.7,32.08,31.45,45833080
2016-11-28,31.89,32.29,32.65,31.82,68897848
2016-11-29,32.05,31.89,32.58,31.73,66538624
2016-11-30,31.61,32.09,32.37,31.51,50803984
2016-12-1,31.7,31.63,32.01,31.52,47438608
2016-12-2,31.55,31.7,31.71,31.25,63371508
2016-12-5,31.54,31.24,31.57,31.15,62209528
2016-12-6,31.45,31.47,31.75,31.41,37612544
2016-12-7,31.74,31.45,31.92,31.35,31067028
2016-12-8,31.78,31.89,32.01,31.71,29516834
2016-12-9,32.14,31.92,32.43,31.76,48703348
2016-12-12,32.18,32.4,33.04,31.98,106934392
2016-12-13,31.93,32.08,32.22,31.82,39559740
2016-12-14,32.31,31.91,32.78,31.89,58644984
2016-12-15,30.88,32.06,32.17,30.71,78608336
2016-12-16,30.76,30.74,31.05,30.68,34099444
2016-12-19,30.68,30.76,30.88,30.59,29559616
2016-12-20,29.94,30.7,30.73,29.73,62695064
2016-12-21,30.02,30.13,30.33,29.89,37625980
2016-12-22,30.05,29.94,30.21,29.68,29500932
2016-12-23,30.01,29.97,30.05,29.68,30192120
2016-12-26,30.4,29.83,30.44,29.63,35131252
2016-12-27,30.54,30.28,30.62,30.26,21780272
2016-12-28,30.57,30.48,30.6,30.27,38631868
2016-12-29,30.41,30.43,30.57,30.31,29042036
2016-12-30,30.71,30.55,30.73,30.39,27076332
2017-1-3,30.96,30.62,31.29,30.6,29697800
2017-1-4,30.93,30.97,31.07,30.79,25257404
2017-1-5,31.01,31.01,31.22,30.96,28691032
2017-1-6,30.72,31.01,31.17,30.63,36286228
2017-1-9,30.7,30.75,30.83,30.55,27061696
2017-1-10,30.51,30.72,30.77,30.48,20535090
2017-1-11,30.51,30.53,30.71,30.38,20996348
2017-1-12,30.49,30.58,30.7,30.43,18718704
2017-1-13,30.84,30.51,31.18,30.47,33073896
2017-1-16,31.47,30.84,31.56,30.49,112917224
2017-1-17,31.26,31.35,31.62,31.17,34949312
2017-1-18,31.49,31.35,31.72,31.34,26686912
2017-1-19,31.33,31.41,31.65,31.2,19962834
2017-1-20,31.54,31.33,31.56,31.29,26033276
2017-1-23,31.48,31.54,31.7,31.32,39800128
2017-1-24,31.46,31.48,31.61,31.38,26866560
2017-1-25,31.71,31.48,31.73,31.37,35892232
2017-1-26,31.79,31.73,32.08,31.72,27720542
2017-2-3,30.9,31.78,31.78,30.88,48926752
2017-2-6,31.22,31.02,31.31,30.81,64891420
2017-2-7,31.34,31.28,31.52,31.2,48618000
2017-2-8,31.3,31.32,31.36,30.98,39628864
2017-2-9,31.39,31.35,31.65,31.28,52756884
2017-2-10,31.48,31.49,31.62,31.38,39921900
2017-2-13,31.59,31.57,31.69,31.45,69354088
2017-2-14,31.38,31.68,31.68,31.23,49092276
2017-2-15,31.6,31.55,31.76,31.49,67285224
2017-2-16,31.58,31.7,31.71,31.47,34781712
2017-2-17,31.54,31.64,31.94,31.48,52550388
2017-2-20,32.1,31.59,32.17,31.53,74144224
2017-2-21,32.05,32.11,32.46,31.98,54833168
2017-2-22,32.1,32.16,32.2,31.95,38041992
2017-2-23,31.8,32.05,32.17,31.72,45952080
2017-2-24,31.84,31.81,31.85,31.64,25683348
2017-2-27,31.6,31.79,31.92,31.49,40140680
2017-2-28,31.51,31.6,31.72,31.47,26846910
2017-3-1,31.44,31.54,31.6,31.41,35508176
2017-3-2,31.14,31.62,31.62,31.12,46565680
2017-3-3,31.13,31.08,31.22,30.99,25135446
2017-3-6,31.11,31.09,31.22,31.03,28671714
2017-3-7,31.24,31.11,31.25,31.08,23721120
2017-3-8,31.1,31.18,31.2,31.05,22285684
2017-3-9,31.06,31.05,31.08,30.78,37796652
2017-3-10,30.88,30.99,31.05,30.86,20744676
2017-3-13,31.25,30.88,31.32,30.84,35999000
2017-3-14,31.22,31.27,31.41,31.09,27696420
2017-3-15,31.24,31.16,31.28,31.04,26872050
2017-3-16,31.35,31.38,31.52,31.25,39164100
2017-3-17,31.03,31.4,31.5,30.9,54262152
2017-3-20,31.11,31.04,31.24,30.94,42458940
2017-3-21,31.55,31.31,31.57,31.15,97008408
2017-3-22,31.28,31.37,31.51,31.09,52790684
2017-3-23,31.85,31.46,32.21,31.42,120905944
2017-3-24,31.83,31.93,32.39,31.48,94401640
2017-3-27,32.02,31.79,32.56,31.78,122860192
2017-3-28,32.01,32.05,32.25,31.89,52334688
2017-3-29,32.06,32.17,32.32,31.97,52522664
2017-3-30,32.03,31.99,32.07,31.68,49288128
2017-3-31,32.29,31.96,32.42,31.86,63799620
2017-4-5,32.38,32.38,32.58,32.27,61349984
2017-4-6,32.24,32.39,32.41,32.06,52331352
2017-4-7,31.88,32.22,32.29,31.84,64760920
2017-4-10,31.73,31.84,31.99,31.66,48441796
2017-4-11,31.47,31.73,31.88,31.12,63322576
2017-4-12,31.29,31.45,31.6,30.18,66507760
2017-4-13,31.18,31.08,31.37,31.08,38759048
2017-4-14,31.17,31.18,31.32,30.94,37091528
2017-4-17,31.3,31.09,31.35,30.95,37660300
2017-4-18,30.98,31.28,31.37,30.95,35523028
2017-4-19,30.79,30.96,31.13,30.75,48705008
2017-4-20,31.08,30.94,31.19,30.84,41604808
2017-4-21,31.37,31.09,31.54,30.93,52520304
2017-4-24,31.45,31.37,31.54,31.27,54992292
2017-4-25,31.76,31.45,31.84,31.4,61281320
2017-4-26,32.79,31.85,33.2,31.75,160935904
2017-4-27,33.1,32.77,33.54,32.72,125005456
2017-4-28,33.24,33.18,33.35,32.89,67866384
2017-5-2,33.19,33.08,33.66,33.08,61932540
2017-5-3,33.28,33.23,33.56,33.1,50538384
2017-5-4,33.1,33.23,33.38,33.01,54857356
2017-5-5,32.54,32.98,33.14,32.48,62397960
2017-5-8,33.07,32.54,33.4,32.52,95293240
2017-5-9,33.27,32.99,33.36,32.99,59518292
2017-5-10,35.12,33.31,35.33,33.29,158920368
2017-5-11,35.05,35.08,35.37,34.84,82779448
2017-5-12,36.23,34.98,36.58,34.98,120017120
2017-5-15,36.18,36.5,37.24,35.9,71622416
2017-5-16,36.37,36.18,36.58,35.96,62986280
2017-5-17,35.7,36.28,36.37,35.47,77910640
2017-5-18,35.9,35.34,36.36,35.34,58167880
2017-5-19,36.29,35.87,36.61,35.87,42046764
2017-5-22,38.12,36.31,38.3,36.31,102557088
2017-5-23,38.45,38.28,39.46,38.13,106099040
2017-5-24,38.31,38.28,38.82,37.25,81351960
2017-5-25,40.77,38.28,40.84,38.23,138990000
2017-5-26,40.46,40.68,41.13,40.14,78361304
2017-5-31,40.35,40.28,42.41,40.1,100997792
2017-6-1,41.25,40.68,41.28,40.18,77236112
2017-6-2,40.24,41.17,41.65,39.91,82633360
2017-6-5,39.95,40.2,40.43,39.36,78000272
2017-6-6,41.31,39.88,41.38,39.88,96716968
2017-6-7,41.26,41.48,42.16,40.99,78820064
2017-6-8,42.9,41.18,42.93,41.1,83217136
2017-6-9,43.42,42.98,44.05,42.78,92567672
2017-6-12,44.21,43.3,44.92,43.3,85959680
2017-6-13,43.72,44.03,44.48,43.18,67046120
2017-6-14,42.49,43.91,44.12,42.28,83401400
2017-6-15,41.46,42.47,42.75,41.19,104198336
2017-6-16,41.98,41.38,42.46,41.38,80723144
2017-6-19,43.84,42.24,43.91,41.97,80848192
2017-6-20,43.38,44.05,44.21,42.95,61635532
2017-6-21,44.71,43.58,44.84,42.84,84975720
2017-6-22,44.42,44.48,45.75,44.33,114646408
2017-6-23,45,44.52,45.18,44.07,87371968
2017-6-26,45,45.27,46.05,44.63,95319256
2017-6-27,45.2,44.98,45.23,44.21,78083584
2017-6-28,43.89,44.98,45.02,43.83,69132248
2017-6-29,45.24,44.08,45.33,43.66,75322872
2017-6-30,44.89,45.08,45.48,44.56,59863096
2017-7-3,44.22,45.08,45.08,43.83,56319920
2017-7-4,43.2,44.08,44.12,43.19,68392064
2017-7-5,45.7,43.28,45.98,43.28,127253720
2017-7-6,46.67,45.7,47.28,45.35,113781480
2017-7-7,46.29,46.43,46.9,45.81,53392600
2017-7-10,46.41,46.3,47.24,45.97,57077600
2017-7-11,47.06,46.64,47.84,46.44,69953960
2017-7-12,46.44,47.19,48.33,46.25,87011736
2017-7-13,47.46,46.81,47.69,46.66,66534296
2017-7-14,48.6,47.52,48.62,47.13,70779160
2017-7-17,49.73,48.84,50.92,48.25,140879136
2017-7-18,49.3,49.43,50.09,48.34,87902952
2017-7-19,49.67,49.51,50.31,48.94,77118072
2017-7-20,49.84,49.38,49.98,48.65,65919872
2017-7-21,47.79,49.03,49.11,47.73,129479192
2017-7-24,48.44,47.91,48.93,47.51,90459592
2017-7-25,48.14,48.45,48.88,48.01,50683484
2017-7-26,47.72,47.93,48.33,47.11,65761088
2017-7-27,48.19,47.68,48.57,46.92,66713296
2017-7-28,47.72,48.03,48.29,47.63,49129472
2017-7-31,47.85,47.71,48.47,47.24,61600508
2017-8-1,50.68,48.03,50.73,48.03,114793664
2017-8-2,49.87,50.64,50.65,49.71,72381744
2017-8-3,48.75,49.87,50.31,48.71,56531164
2017-8-4,47.77,48.82,49.02,47.68,66608736
2017-8-7,48.15,47.74,48.67,47.36,52385216
2017-8-8,48.28,48.13,48.39,47.74,36732252
2017-8-9,47.89,48.18,48.67,47.83,41073412
2017-8-10,46.56,47.9,48.28,46.34,84642312
2017-8-11,45.41,46.03,46.56,45.36,82814560
2017-8-14,46.32,45.82,46.83,45.47,79149496
2017-8-15,46.73,46.63,47.39,46.43,68084952
2017-8-16,47.04,46.68,47.12,46.36,34085104
2017-8-17,46.93,47.3,47.66,46.7,37471148
2017-8-18,49,48.23,49.69,47.45,117642872
2017-8-21,48.86,49.23,50.11,48.61,71615256
2017-8-22,51.03,49.24,51.09,49.15,100989680
2017-8-23,51.23,50.84,51.66,50.65,56488436
2017-8-24,50.95,51.38,52.11,50.78,56065476
2017-8-25,51.66,50.73,52.05,50.67,74310600
2017-8-28,52.03,51.81,53.58,51.81,80329568
2017-8-29,52.89,51.93,53.08,51.71,41677420
2017-8-30,52.24,52.83,53.46,52.09,47027720
2017-8-31,51.86,52.16,52.49,51.38,48095720
2017-9-1,52,51.88,52.87,51.43,57108348
2017-9-4,51.48,51.84,51.89,51.14,48405136
2017-9-5,52.62,51.73,52.93,51.44,56376992
2017-9-6,51.73,52.38,52.71,51.42,42406312
2017-9-7,51.24,51.93,52.15,51.16,32974056
2017-9-8,51.35,51.23,51.85,51.16,29032224
2017-9-11,50.32,51.54,52.31,50.25,80409840
2017-9-12,51.14,50.81,51.2,49.94,55595400
2017-9-13,51.4,51.13,51.69,50.66,39806984
2017-9-14,50.35,51.43,51.58,50.23,51019116
2017-9-15,49.71,50.42,50.53,49.48,75425944
2017-9-18,49.63,49.6,50.81,49.6,75400296
2017-9-19,49.79,50.02,50.37,49.44,62150656
2017-9-20,49.41,49.77,50.03,49.33,58718912
2017-9-21,50.15,49.49,50.57,49.34,72709200
2017-9-22,50.37,49.88,50.68,49.85,54947184
2017-9-25,50.49,50.38,51.06,50.15,65794496
2017-9-26,50.58,50.32,50.66,50.28,42795844
2017-9-27,49.93,50.43,50.57,49.79,46898448
2017-9-28,50.07,49.93,50.3,49.65,39773744
2017-9-29,50.49,50.05,50.68,49.76,43417232
2017-10-9,51.09,52.43,52.83,51.04,88236200
2017-10-10,51.25,51.19,51.85,50.14,96068320
2017-10-11,51.64,51.23,52.05,50.88,66452796
2017-10-12,53.44,51.53,53.52,51.45,89855008
2017-10-13,53.41,53.24,53.76,53.06,50815328
2017-10-16,53.5,53.83,54.88,53.42,74976920
2017-10-17,54.27,53.74,54.59,53.53,63781572
2017-10-18,55.31,54.39,55.36,54.2,71037952
2017-10-19,55.92,55.39,56.28,55.13,74113888
2017-10-20,55.35,55.33,55.78,54.97,45688148
2017-10-23,56.21,56.06,56.51,55.53,51239176
2017-10-24,56.53,56.1,57.39,55.96,70533640
2017-10-25,56.41,56.43,56.77,56.04,38645696
2017-10-26,57.72,56.33,58.59,56.19,83684096
2017-10-27,60.26,57.83,60.31,57.81,87686096
2017-10-30,60.39,60.33,61.63,59.46,118383152
2017-10-31,60.69,59.83,60.83,59.64,51366188
2017-11-1,60.45,60.8,62.61,60.05,100111912
2017-11-2,60.47,60.53,60.72,59.33,82494648
2017-11-3,60.78,60.33,61.17,59.81,68143976
2017-11-6,60.34,61.02,61.03,59.25,90857016
2017-11-7,61.7,60.63,62.9,60.63,117356584
2017-11-8,60.94,61.73,62.68,60.65,86782080
2017-11-9,62.66,60.83,62.72,60.73,70866928
2017-11-10,66.22,62.33,66.28,62.26,125406040
2017-11-13,66.48,66.43,66.9,65.81,75220720
2017-11-14,66.75,67.02,67.62,66.1,80174832
2017-11-15,65.53,66.31,66.76,64.92,100945992
2017-11-16,69.34,65.13,69.44,65.08,116376448
2017-11-17,71.6,69.03,71.65,68.13,158039376
2017-11-20,72.04,71.11,72.82,70.4,114128112
2017-11-21,74.77,71.46,76.01,71.46,144556944
2017-11-22,73.78,75.83,76.29,72.91,129348800
2017-11-23,70.65,72.93,74.77,70.03,157621088
2017-11-24,70.95,70.48,71.79,69.04,131784376
2017-11-27,69.88,71.03,71.23,67.88,163723232
